City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,aldinga beach,-35.2793,138.4604,54.73,81,20,10.76,AU,1715969994
279,sisimiut,66.9395,-53.6735,29.48,69,1,12.59,GL,1715969994
280,medina,24.4686,39.6142,97.23,9,20,6.91,SA,1715969847
281,cabimas,10.3883,-71.4399,88.21,66,99,8.59,VE,1715969730
282,yerofey pavlovich,53.9667,121.9667,37.38,43,100,8.16,RU,1715969994
283,porto novo,6.4965,2.6036,82.13,81,99,5.97,BJ,1715969738
284,camana,-16.6228,-72.7111,66.76,90,99,10.8,PE,1715969995
285,kingston,17.997,-76.7936,90.55,66,20,20.71,JM,1715969890
286,jakar,27.5492,90.7525,52.93,98,100,3.09,BT,1715969995
287,tindouf,27.6711,-8.1474,88.25,16,2,23.02,DZ,1715969995
288,port moresby,-9.4431,147.1797,76.42,100,40,3.44,PG,1715969811
289,kailua-kona,19.6406,-155.9956,85.59,77,0,5.75,US,1715969995
290,kabalo,-6.05,26.9167,78.22,52,85,4.18,CD,1715969995
291,tazacorte,28.629,-17.9293,69.15,81,40,5.75,ES,1715969995
292,ryotsu-minato,38.0833,138.4333,53.53,82,6,5.68,JP,1715969995
293,masterton,-40.9597,175.6575,54.1,93,20,5.77,NZ,1715969995
294,edgewater,28.9889,-80.9023,78.94,100,100,8.05,US,1715969995
295,lebu,-37.6167,-73.65,54.54,64,0,7.07,CL,1715969726
296,mukalla,14.5425,49.1242,84.49,75,0,6.67,YE,1715969995
297,tsiombe,-25.3,45.4833,71.62,79,9,4.18,MG,1715969995
298,golfito,8.639,-83.166,80.65,82,46,5.32,CR,1715969995
299,malmberget,67.1753,20.6549,70.36,33,35,6.91,SE,1715969995
300,buncrana,55.1333,-7.45,58.77,89,48,8.66,IE,1715969995
301,borazjan,29.2666,51.2159,92.5,32,0,5.21,IR,1715969996
302,northwich,53.2614,-2.5123,69.57,65,100,3.44,GB,1715969996
303,turbat,26.0023,63.044,90.27,36,1,8.03,PK,1715969996
304,kinablangan,7.6947,126.5503,75.31,78,100,5.77,PH,1715969996
305,sinabang,2.4803,96.3801,80.51,83,100,0.76,ID,1715969996
306,masina,-4.3836,15.3914,86.34,74,20,0.0,CD,1715969996
307,codrington,-38.2667,141.9667,50.54,56,40,13.35,AU,1715969996
308,narvik,68.4384,17.4272,62.01,87,93,3.06,NO,1715969996
309,maryborough,-25.5333,152.7,61.11,97,22,5.26,AU,1715969996
310,belmonte,-15.8631,-38.8828,82.2,62,1,7.29,BR,1715969996
311,beroroha,-21.6667,45.1667,77.92,53,52,2.62,MG,1715969996
312,pisco,-13.7,-76.2167,68.05,88,20,9.22,PE,1715969996
313,huarmey,-10.0681,-78.1522,66.61,85,49,19.19,PE,1715969996
314,soure,-0.7167,-48.5233,75.61,94,100,8.16,BR,1715969996
315,caxito,-8.5785,13.6643,75.65,92,71,5.84,AO,1715969996
316,port saint john's,-31.6229,29.5448,67.86,83,70,5.03,ZA,1715969996
317,kismayo,-0.3582,42.5454,80.15,79,54,13.09,SO,1715969996
318,charters towers,-20.1,146.2667,63.48,86,52,6.64,AU,1715969996
319,nemuro,43.3236,145.575,47.1,91,2,10.63,JP,1715969997
320,berezovyy,51.6667,135.7,60.98,51,100,5.73,RU,1715969997
321,zhalantun,48.0,122.7167,55.02,23,87,19.77,CN,1715969997
322,lumut,4.2323,100.6298,81.77,80,92,3.02,MY,1715969997
323,hilo,19.7297,-155.09,88.29,96,100,4.61,US,1715969997
324,ulsteinvik,62.3432,5.8487,68.9,66,57,1.01,NO,1715969997
325,sechura,-5.5569,-80.8222,66.0,89,69,10.85,PE,1715969997
326,coahuayana de hidalgo,18.7,-103.6583,89.91,42,0,7.49,MX,1715969997
327,balykshi,47.0667,51.8667,59.0,67,40,8.95,KZ,1715969997
328,alice springs,-23.7,133.8833,45.95,87,40,4.61,AU,1715969997
329,dubbo,-32.25,148.6167,48.33,87,61,6.91,AU,1715969997
330,felege neway,6.3,36.8833,72.86,85,33,3.56,ET,1715969997
331,thulamahashi,-24.7246,31.1994,70.41,32,0,5.12,ZA,1715969997
332,la plata,-34.9215,-57.9545,51.82,63,30,8.5,AR,1715969701
333,rio cuarto,-33.1307,-64.3499,55.67,49,0,10.11,AR,1715969997
334,acajutla,13.5928,-89.8275,85.71,68,100,10.36,SV,1715969997
335,crato,-7.2342,-39.4094,89.31,51,40,5.75,BR,1715969998
336,blythe,33.6103,-114.5964,90.05,27,0,11.5,US,1715969998
337,saint-francois,46.4154,3.9054,60.24,69,75,13.8,FR,1715969998
338,ambikapur,23.1167,83.2,79.72,44,87,7.52,IN,1715969998
339,cestos city,5.46,-9.5828,82.72,76,100,6.04,LR,1715969998
340,iquitos,-3.7481,-73.2472,84.24,79,75,3.44,PE,1715969998
341,antalaha,-14.9003,50.2788,77.99,91,100,19.39,MG,1715969836
342,jutai,-5.1833,-68.9,88.66,59,85,0.89,BR,1715969998
343,samana,19.2056,-69.3369,91.62,66,20,6.91,DO,1715969998
344,namibe,-15.1961,12.1522,76.39,80,32,7.85,AO,1715969998
345,hegang,47.4,130.3667,61.39,40,100,5.5,CN,1715969998
346,ola,59.5833,151.2833,42.13,68,7,1.92,RU,1715969998
347,westport,41.1415,-73.3579,74.55,57,75,8.05,US,1715969864
348,severomorsk,69.0689,33.4162,41.4,100,100,6.24,RU,1715969998
349,kapa'a,22.0752,-159.319,73.18,88,100,8.05,US,1715969998
350,minas de marcona,-15.2119,-75.1103,63.81,72,77,18.19,PE,1715969998
351,berdigestyakh,62.0989,126.6992,30.34,83,17,6.46,RU,1715969998
352,mount pleasant,32.7941,-79.8626,82.99,83,0,5.75,US,1715969744
353,darwin,-12.4611,130.8418,80.58,57,44,10.36,AU,1715969998
354,bechar,31.6167,-2.2167,91.72,9,40,23.02,DZ,1715969998
355,vilyuchinsk,52.9306,158.4028,46.26,76,98,5.55,RU,1715969999
356,pompeu,-19.2244,-44.9353,86.95,30,0,2.37,BR,1715969999
357,karkkila,60.5342,24.2098,64.17,56,51,5.82,FI,1715969999
358,lobujya,27.95,86.8167,26.08,75,100,1.39,NP,1715969999
359,saudarkrokur,65.7461,-19.6394,44.67,49,92,20.71,IS,1715969999
360,touros,-5.1989,-35.4608,85.19,66,31,10.13,BR,1715969999
361,kotido,2.9806,34.1331,78.58,53,100,5.26,UG,1715969999
362,road town,18.4167,-64.6167,87.84,66,40,8.05,VG,1715969999
363,as saffaniyah,27.9708,48.73,87.93,34,0,10.22,SA,1715969999
364,kristinestad,62.2743,21.376,65.1,61,16,6.96,FI,1715969999
